"id_cordee","lib_cordee","region","academie","departement","commune","composante_cordee","lycees_sources"
"C0100","Ouverture sociale des CPGE et école d'été","Rhône-Alpes","Lyon",69,"Saint-Priest","LYCEE(S) AVEC CPGE","Lycée Condorcet"
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Saint-Priest","LYCEE(S) AVEC CPGE","Lycée Condorcet"
"C0106","Séminaire Lycée","Rhône-Alpes","Lyon",69,"Saint-Priest","LYCEE(S) AVEC CPGE","Lycée Condorcet"
"C0108","Trait d'union Prépa valorisation des filières technologiques","Rhône-Alpes","Lyon",69,"Saint-Priest","LYCEE(S) AVEC CPGE","Lycée Condorcet"
"C0109","Trait d'union Multicampus multiquartiers","Rhône-Alpes","Lyon",69,"Saint-Priest","LYCEE(S) AVEC CPGE","Lycée Condorcet"
"C0108","Trait d'union Prépa valorisation des filières technologiques","Rhône-Alpes","Lyon",69,"Saint-Priest","LYCEES SOURCES","Lycée Condorcet"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",69,"St Priest","LYCEES SOURCES","Lycée Condorcet"
"C0060","Réussir à Dauphine","Ile-de-France","Créteil",93,"Montreuil","LYCEES SOURCES","Lycée Condorcet"
"C0187","Confiance, ambition, réussite en Sud Finistère","Bretagne","Rennes",29,"Quimper","LYCEES SOURCES","Lycée Cornouailles"
"C0141","Ambition IEP","PACA","Nice",83,"Hyères","LYCEES SOURCES","Lycée Costebelle"
"C0081","Ingénieur, je veux, je peux","Nord-Pas-de-Calais","Lille",59,"Saint-Amand","LYCEES SOURCES","Lycée Couteaux"
"C0176","Cordée Arago pour réussir","Champagne-Ardennes","Reims",51,"Tinqueux","LYCEES SOURCES","Lycée Croix Cordier"
"C0089","Escapade","Limousin","Limoges",19,"Brive","LYCEES SOURCES","Lycée d' Arsonval"
"C0091","Ruralité : ambition, mobilité et réussite","Limousin","Limoges",19,"Brive","LYCEES SOURCES","Lycée d' Arsonval"
"C0224","Ose l'ISAE","Midi-Pyrénées","Toulouse",31,"Nogaro","LYCEES SOURCES","Lycée d'Artagnan"
"C0092","Une grande école scientifique, PQPM?","Limousin","Limoges",87,"Limoges","LYCEES SOURCES","Lycée Dautry"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Angers","LYCEES SOURCES","Lycée David d'Angers"
"C0212","Cordée de la réussite-CPGE Lycée Kleber","Alsace","Strasbourg",67,"Bouxwiller","LYCEES SOURCES","Lycée de Bouxwiller"
"C0198","Tutorat Horizons","Bretagne","Rennes",29,"Quimper","LYCEE(S) AVEC CPGE","Lycée de Cornouaille"
"C0198","Tutorat Horizons","Bretagne","Rennes",29,"Quimper","LYCEES SOURCES","Lycée de Cornouaille"
"C0040","Caen Sud Lycée Fresnel","Basse Normandie","Caen",14,"Caen","LYCEE(S) AVEC CPGE","Lycée de Gaulle"
"C0039","Tous envie de réussir","Basse Normandie","Caen",14,"Caen ","LYCEES SOURCES","Lycée de Gaulle"
"C0190","Cordée Nord finistérienne","Bretagne","Rennes",29,"Brest","LYCEE(S) AVEC CPGE","Lycée de Kerichen"
"C0134","Université Paul Verlaine - Metz","Lorraine","Nancy-Metz",57,"Metz","LYCEES SOURCES","Lycée de la Communication"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",1,"Ambérieux","LYCEES SOURCES","Lycée de la plaine de l'Ain"
"C0233","Cordée HEC Académie de Versailles","Ile-de-France","Versailles",78,"Trappes","LYCEES SOURCES","Lycée de la Plaine de Neauphle"
"C0242","Oui nous le pouvons","Ile-de-France","Versailles",78,"Trappes","LYCEES SOURCES","Lycée de la Plaine de Neauphle"
"C0247","Secteur CASQY","Ile-de-France","Versailles",78,"Trappes","LYCEES SOURCES","Lycée de la Plaine de Neauphle"
"C0175","Venise verte","Poitou-Charente","Poitiers",79,"Niort","LYCEE(S) AVEC CPGE","Lycée de la Venise verte"
"C001","Accompagnement à la scolarité","Provence Alpes Côte d'Azur","Aix-Marseille",84,"Orange","LYCEES SOURCES","Lycée de l'Arc"
"C0015","Spé IEP","Provence Alpes Côte d'Azur","Aix-Marseille",84,"Orange","LYCEES SOURCES","Lycée de l'Arc"
"C0007","IEPEI","Provence Alpes Côte d'Azur","Aix-Marseille",84,"Orange","LYCEES SOURCES","Lycée de l'Arc "
"C0002","AVENIR","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Gardanne","LYCEES SOURCES","Lycée de l'Etoile"
"C0230","Ambitions supérieures - scientifiques","Ile-de-France","Versailles",95,"Jouy-le-Moutier","LYCEES SOURCES","Lycée de l'Hautil"
"C0197","Pour une connaissance mutuelle entre filières littéraires de lycée et parcours lettres et sciences humaines à l'université","Bretagne","Rennes",29,"Brest","LYCEES SOURCES","Lycée de l'Iroise"
"C0239","Ma chance, l'Université","Ile-de-France","Versailles",91,"Montgéron","LYCEES SOURCES","Lycée de Montgéron"
"C0047","Pôle développement durable","Auvergne","Clermont-Ferrand",15,"Murat","LYCEES SOURCES","Lycée de Murat"
"C0038","Sciences Po Bordeaux, je le peux parce que je le veux","Aquitaine","Bordeaux",64,"Saint Jean Pied de Port","LYCEES SOURCES","Lycée de Navarre"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée de Provence"
"C0062","Accès aux formations supérieures et métiers du vivant","Bourgogne","Dijon",21,"Quétigny","TETE(S) DE CORDEE","Lycée de Quetigny"
"C0159","Cordée Jean-Baptiste Say","Ile-de-France","Paris",93,"Drancy","LYCEES SOURCES","Lycée Delacroix"
"C0177","Cordée Arts et métiers","Champagne-Ardennes","Reims",52,"Langres","LYCEES SOURCES","Lycée Denis Diderot"
"C0224","Ose l'ISAE","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEE(S) AVEC CPGE","Lycée Déodat de Séverac"
"C0224","Ose l'ISAE","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEES SOURCES","Lycée Déodat de Séverac"
"C0224","Ose l'ISAE","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEES SOURCES","Lycée des Arènes"
"C0071","Un ascenseur pour la réussite","Rhône-Alpes","Grenoble",38,"Grenoble","LYCEE(S) AVEC CPGE","Lycée des Eaux Claires"
"C0082","Les cordées de la réussite du lycée Saint-Pierre et de l'école d'ingénieurs","Nord-Pas-de-Calais","Lille",59,"Hazebrouck","LYCEES SOURCES","Lycée des Flandres"
"C0177","Cordée Arts et métiers","Champagne-Ardennes","Reims",10,"Troyes","LYCEE(S) AVEC CPGE","Lycée des Lombards"
"C0036","Programme ""égalité des chances"" pour les études en architecture","Aquitaine","Bordeaux",33,"Blanquefort","LYCEES SOURCES","Lycée des métiers"
"C0148","Les études sup…c'est aussi pour moi","Centre","Orléans-Tours",37,"Tours ","LYCEE(S) AVEC CPGE","Lycée Descartes"
"C0148","Les études sup…c'est aussi pour moi","Centre","Orléans-Tours",37,"Tours ","LYCEES SOURCES","Lycée Descartes"
"C0202","EDRESUP ","Haute Normandie","Rouen",76,"Fécamp","LYCEES SOURCES","Lycée Descartes"
"C0056","Cordée Georges Guerschwin","Ile-de-France","Créteil",94,"Champs-sur-Marne","LYCEES SOURCES","Lycée Descartes"
"C0247","Secteur CASQY","Ile-de-France","Versailles",92,"Montigny-le-Bretonneux","LYCEE(S) AVEC CPGE","Lycée Descartes"
"C0233","Cordée HEC Académie de Versailles","Ile-de-France","Versailles",92,"Antony","LYCEES SOURCES","Lycée Descartes"
"C0175","Venise verte","Poitou-Charente","Poitiers",79,"Niort","LYCEES SOURCES","Lycée Desfontaines"
"C0064","Eiffel de la réussite","Bourgogne","Dijon",21,"Châtillon sur Seine","LYCEES SOURCES","Lycée Désiré Nisard"
"C0047","Pôle développement durable","Auvergne","Clermont-Ferrand",43,"Espaly","LYCEES SOURCES","Lycée d'Espaly"
"C0153","Université et CPGE pour les élèves d'Eure-et-Loir","Centre","Orléans-Tours",41,"Blois ","LYCEE(S) AVEC CPGE","Lycée Dessaignes"
"C0150","Promotion de l'accueil en CPGE économique","Centre","Orléans-Tours",41,"Blois ","LYCEES SOURCES","Lycée Dessaignes"
"C0083","L'universté d'Artois, pourquoi pas moi?","Nord-Pas-de-Calais","Lille",59,"Douai","LYCEES SOURCES","Lycée d'excellence"
"C0086","Une grande école, pourquoi pas moi?","Nord-Pas-de-Calais","Lille",59,"Douai","LYCEES SOURCES","Lycée d'excellence"
"C0114","Ingénieur, pourquoi pas moi?","Languedoc-Roussillon","Montpellier",30,"Nîmes","LYCEE(S) AVEC CPGE","Lycée Dhuoda"
"C0116","Un lycée au cœur d'un réseau, point d'appui pour le développement local","Languedoc-Roussillon","Montpellier",30,"Nîmes","LYCEES SOURCES","Lycée Dhuoda"
"C0003","CPES Spé S&T","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0004","Des études scientifiques, pourquoi pas moi ?","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0006","Echanges Phocéens","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0010","Officier pourquoi pas ?","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0011","PASS","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0016","Spé IEP","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0017","SPRING","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0018","TANDEM","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot"
"C0007","IEPEI","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Marseille","LYCEES SOURCES","Lycée Diderot (en contact)"
"C0220","Construire des rêves d'avenir","Midi-Pyrénées","Toulouse",9,"Pamiers","LYCEES SOURCES","Lycée du Castella"
"C0081","Ingénieur, je veux, je peux","Nord-Pas-de-Calais","Lille",59,"Valenciennes","LYCEE(S) AVEC CPGE","Lycée du Hainaut"
"C0081","Ingénieur, je veux, je peux","Nord-Pas-de-Calais","Lille",59,"Valenciennes","LYCEES SOURCES","Lycée du Hainaut"
"C0212","Cordée de la réussite-CPGE Lycée Kleber","Alsace","Strasbourg",67,"Saverne","LYCEES SOURCES","Lycée du Haut-Barr"
"C0190","Cordée Nord finistérienne","Bretagne","Rennes",29,"Landivisiau","LYCEES SOURCES","Lycée du Léon"
"C0197","Pour une connaissance mutuelle entre filières littéraires de lycée et parcours lettres et sciences humaines à l'université","Bretagne","Rennes",29,"Landivisiau","LYCEES SOURCES","Lycée du Léon"
"C0100","Ouverture sociale des CPGE et école d'été","Rhône-Alpes","Lyon",69,"Lyon","LYCEE(S) AVEC CPGE","Lycée du Parc"
"C0107","Trait d'union ","Rhône-Alpes","Lyon",69,"Lyon","LYCEE(S) AVEC CPGE","Lycée du Parc"
"C0109","Trait d'union Multicampus multiquartiers","Rhône-Alpes","Lyon",69,"Lyon","LYCEE(S) AVEC CPGE","Lycée du Parc"
"C0228","Ambition d'enseignement supérieur - Lycée du Parc des Loges","Ile-de-France","Versailles",91,"Evry","LYCEE(S) AVEC CPGE","Lycée du Parc des Loges"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",80,"Friville Escarbotin","LYCEES SOURCES","Lycée du Vimeu"
"C0110","Réussir à HEC","Martinique","Martinique",972,"Centre Sud","LYCEE(S) AVEC CPGE","Lycée Ducos"
"C0111","Réussir à l'IEP de Bordeaux","Martinique","Martinique",972,"Centre Sud","LYCEE(S) AVEC CPGE","Lycée Ducos"
"C0112","Réussir à l'INSA","Martinique","Martinique",972,"Centre Sud","LYCEE(S) AVEC CPGE","Lycée Ducos"
"C0150","Promotion de l'accueil en CPGE économique","Centre","Orléans-Tours",45,"Pithiviers","LYCEES SOURCES","Lycée Duhamel du Monceau"
"C0154","Visez loin… Devenez ingénieur","Centre","Orléans-Tours",45,"Pithiviers","LYCEES SOURCES","Lycée Duhamel du Monceau"
"C0039","Tous envie de réussir","Basse Normandie","Caen",14,"Caen ","LYCEES SOURCES","Lycée Dumont d'Urville"
"C0247","Secteur CASQY","Ile-de-France","Versailles",78,"Maurepas","LYCEES SOURCES","Lycée Dumont d'Urville"
"C0141","Ambition IEP","PACA","Nice",83,"Toulon","LYCEE(S) AVEC CPGE","Lycée Dumont d'Urville"
"C0143","Les drisses de la réussite","PACA","Nice",83,"Toulon","LYCEE(S) AVEC CPGE","Lycée Dumont d'Urville"
"C0084","Programme d'études intégrées","Nord-Pas-de-Calais","Lille",59,"LANDRECIES","LYCEE OU COLLEGES SOURCES","LYCEE DUPLEIX"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Saumur","LYCEES SOURCES","Lycée Duplessis Mornay"
"C0154","Visez loin… Devenez ingénieur","Centre","Orléans-Tours",45,"Villemandeur","LYCEES SOURCES","Lycée Durzy"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",42,"St Etienne","LYCEES SOURCES","Lycée E Mimard"
"C0084","Programme d'études intégrées","Nord-Pas-de-Calais","Lille",62,"MONTREUIL SUR MER","LYCEE OU COLLEGES SOURCES","LYCEE E. WOILLEZ"
"C0029","Promouvoir l'égalité des chances","Franche-Comté","Besançon",25,"Morteau","LYCEES SOURCES","Lycée Edgar Faure"
"C0080","Cordée des sciences de l'ingénieur","Nord-Pas-de-Calais","Lille",59,"Douai","LYCEES SOURCES","Lycée Edmond Labbé"
"C0086","Une grande école, pourquoi pas moi?","Nord-Pas-de-Calais","Lille",59,"Douai","LYCEES SOURCES","Lycée Edmond Labbé"
"C0089","Escapade","Limousin","Limoges",19,"Tulle","LYCEES SOURCES","Lycée Edmond Perrier"
"C0230","Ambitions supérieures - scientifiques","Ile-de-France","Versailles",95,"Saint-Ouen l'Aumone","LYCEES SOURCES","Lycée Edmond Rostand"
"C0253","Une grande école, pourquoi pas moi ? ESSEC","Ile-de-France","Versailles",95,"Saint-Ouen l'Aumone","LYCEES SOURCES","Lycée Edmond Rostand"
"C0030","Réussir ensemble ","Franche-Comté","Besançon",70,"Vesoul","LYCEES SOURCES","Lycée Edouard Belin"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",80,"Amiens","LYCEES SOURCES","Lycée Edouard Branly"
"C0107","Trait d'union ","Rhône-Alpes","Lyon",69,"Lyon","LYCEE(S) AVEC CPGE","Lycée Edouard Herriot"
"C0147","Futurs ingénieurs au sommet","Centre","Orléans-Tours",18,"Vierzon","LYCEES SOURCES","Lycée Edouard Vaillant"
"C0149","Les sciences en face à face","Centre","Orléans-Tours",18,"Vierzon","LYCEES SOURCES","Lycée Edouard Vaillant"
"C0031","Attractivité des sciences et technologies à l'université","Aquitaine","Bordeaux",33,"Lormont","LYCEES SOURCES","Lycée Elie Faure"
"C0032","Cordée de la réussite Bordeaux","Aquitaine","Bordeaux",33,"Lormont","LYCEES SOURCES","Lycée Elie Faure"
"C0033","Entre en prépa c'est réalisable","Aquitaine","Bordeaux",33,"Lormont","LYCEES SOURCES","Lycée Elie Faure"
"C0034","Horizons","Aquitaine","Bordeaux",33,"Lormont","LYCEES SOURCES","Lycée Elie Faure"
"C0038","Sciences Po Bordeaux, je le peux parce que je le veux","Aquitaine","Bordeaux",33,"Lormont","LYCEES SOURCES","Lycée Elie Faure"
"C0038","Sciences Po Bordeaux, je le peux parce que je le veux","Aquitaine","Bordeaux",33,"Sainte Foy La Grande","LYCEES SOURCES","Lycée Elisée Reclus"
"C0031","Attractivité des sciences et technologies à l'université","Aquitaine","Bordeaux",33,"Saint Foy la Grande","LYCEES SOURCES","Lycée Elysée Reclus"
"C0063","Cordée Chalonnaise","Bourgogne","Dijon",71,"Chalon sur Saône","LYCEES SOURCES","Lycée Emiland Gautey"
"C0176","Cordée Arago pour réussir","Champagne-Ardennes","Reims",52,"Wassy","LYCEES SOURCES","Lycée Emile Baudot"
"C0217","Tutorat d'excellence","Alsace","Strasbourg",67,"Strasbourg","LYCEES SOURCES","Lycée Emile Mathis"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Aix-en-Provence","LYCEES SOURCES","Lycée Emile Zola"
"C0019","Tutorat ""école de l'air""","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Aix-en-Provence","LYCEES SOURCES","Lycée Emile Zola"
"C0150","Promotion de l'accueil en CPGE économique","Centre","Orléans-Tours",28,"Châteaudun","LYCEES SOURCES","Lycée Emile Zola"
"C0152","Une filière ingénieuse pour devenir ingénieur","Centre","Orléans-Tours",28,"Châteaudun","LYCEES SOURCES","Lycée Emile Zola"
"C0153","Université et CPGE pour les élèves d'Eure-et-Loir","Centre","Orléans-Tours",28,"Châteaudun","LYCEES SOURCES","Lycée Emile Zola"
"C0129","La cordée du Barrois","Lorraine","Nancy-Metz",55,"Bar le Duc","LYCEES SOURCES","Lycée Emile Zola"
"C0085","Une grande école, pourquoi pas moi?","Nord-Pas-de-Calais","Lille",59,"Wattrelos","LYCEES SOURCES","Lycée Emile Zola"
"C0234","Course en cours","Ile-de-France","Versailles",78,"Montigny","LYCEES SOURCES","Lycée Emilie de Breteuil"
"C0247","Secteur CASQY","Ile-de-France","Versailles",78,"Saint-Quentin-en-Yvelines","LYCEES SOURCES","Lycée Emilie de Breteuil"
"C0118","Réussir dans le supérieur","Languedoc-Roussillon","Montpellier",30,"Nîmes","LYCEE(S) AVEC CPGE","Lycée Emmanuel D'Alzon"
"C0118","Réussir dans le supérieur","Languedoc-Roussillon","Montpellier",30,"Nîmes","LYCEES SOURCES","Lycée Emmanuel D'Alzon"
"C0239","Ma chance, l'Université","Ile-de-France","Versailles",92,"Chatenay ","LYCEES SOURCES","Lycée Emmanuel Mounier"
"C0241","OPEN","Ile-de-France","Versailles",92,"Chatenay-Malabry","LYCEES SOURCES","Lycée Emmanuel Mounier"
"C0150","Promotion de l'accueil en CPGE économique","Centre","Orléans-Tours",45,"Montargis","LYCEES SOURCES","Lycée en forêt"
"C0125","Ensemble pour que chaque élève ose sa réussite","Lorraine","Nancy-Metz",54,"Luneville","LYCEES SOURCES","Lycée Ernest Bichat"
"C0080","Cordée des sciences de l'ingénieur","Nord-Pas-de-Calais","Lille",59,"St Amand-les-Eaux","LYCEES SOURCES","Lycée Ernest Couteaux"
"C0116","Un lycée au cœur d'un réseau, point d'appui pour le développement local","Languedoc-Roussillon","Montpellier",30,"Nîmes","LYCEES SOURCES","Lycée Ernest Hemingway"
"C0188","Cordée Archipel","Bretagne","Rennes",29,"Brest","LYCEES SOURCES","Lycée Estran Charles de Foucault"
"C0105","Réussir aujourd'hui-intégrer une grande école","Rhône-Alpes","Lyon",42,"Saint-Etienne","LYCEE(S) AVEC CPGE","Lycée Etienne Mimard"
"C0177","Cordée Arts et métiers","Champagne-Ardennes","Reims",51,"Châlons-en-Champagne","LYCEE(S) AVEC CPGE","Lycée Etienne Oehmichen"
"C0064","Eiffel de la réussite","Bourgogne","Dijon",21,"Beaune","LYCEES SOURCES","Lycée Etienne-Jules Marey"
"C0155","Accompagnement pour la poursuite d'études Mines-ParisTech","Ile-de-France","Paris",93,"Drancy","LYCEES SOURCES","Lycée Eugène Delacroix"
"C0064","Eiffel de la réussite","Bourgogne","Dijon",21,"Montbard","LYCEES SOURCES","Lycée Eugène Guillaume"
"C0060","Réussir à Dauphine","Ile-de-France","Créteil",93,"Bagnolet","LYCEES SOURCES","Lycée Eugène Henaff"
"C0246","Réussir à Dauphine","Ile-de-France","Versailles",92,"Issy-les-Moulineaux","LYCEES SOURCES","Lycée Eugène Ionesco"
"C0089","Escapade","Limousin","Limoges",23,"Aubusson","LYCEES SOURCES","Lycée Eugène Jamot"
"C0084","Programme d'études intégrées","Nord-Pas-de-Calais","Lille",59,"LE QUESNOY","LYCEE OU COLLEGES SOURCES","LYCEE EUGENE THOMAS"
"C0082","Les cordées de la réussite du lycée Saint-Pierre et de l'école d'ingénieurs","Nord-Pas-de-Calais","Lille",59,"Le Quesnoy","LYCEES SOURCES","Lycée Eugène Thomas"
"C0230","Ambitions supérieures - scientifiques","Ile-de-France","Versailles",95,"Argenteuil","LYCEES SOURCES","Lycée Eugénie Cotton"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Cholet","LYCEES SOURCES","Lycée Europe"
"C0022","Passeport étudiant","Picardie","Amiens",2,"Villers Cotterets","LYCEES SOURCES","Lycée Européen"
"C0230","Ambitions supérieures - scientifiques","Ile-de-France","Versailles",78,"Sartrouville","LYCEES SOURCES","Lycée Evariste Gallois"
"C0253","Une grande école, pourquoi pas moi ? ESSEC","Ile-de-France","Versailles",78,"Sartrouville","LYCEES SOURCES","Lycée Evariste Gallois"
"C0135","BRIO : fais un bond pour la réussite ","Pays de la Loire","Nantes",44,"Nantes","LYCEE(S) AVEC CPGE","Lycée Externat des enfants nantais"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",69,"Villeurbanne","LYCEES SOURCES","Lycée F Fays"
"C0120","ARTEM","Lorraine","Nancy-Metz",57,"Metz","LYCEE(S) AVEC CPGE","Lycée Fabert"
"C0123","Cordée Saint-Exupéry","Lorraine","Nancy-Metz",57,"Metz","LYCEE(S) AVEC CPGE","Lycée Fabert"
"C0130","La cordée nord meusienne","Lorraine","Nancy-Metz",57,"Metz","LYCEE(S) AVEC CPGE","Lycée Fabert"
"C0121","La cordée de la réussite Arts et métiers Paris Tech Metz","Lorraine","Nancy-Metz",57,"Metz","LYCEE(S) AVEC CPGE","Lycée Fabert (en projet)"
"C0084","Programme d'études intégrées","Nord-Pas-de-Calais","Lille",59,"Lille","LYCEE(S) AVEC CPGE","Lycée Faidherbe"
"C0100","Ouverture sociale des CPGE et école d'été","Rhône-Alpes","Lyon",42,"Saint-Etienne","LYCEE(S) AVEC CPGE","Lycée Fauriel"
"C0090","Limousin, terre de réussite","Limousin","Limoges",23,"Guéret","LYCEES SOURCES","Lycée Favard"
"C0075","Promotion des études supérieures de lettres en Guyane","Guynae","Guynae",973,"Cayenne","TETE(S) DE CORDEE","Lycée Felix Eboué"
"C0075","Promotion des études supérieures de lettres en Guyane","Guynae","Guynae",973,"Cayenne","LYCEE(S) AVEC CPGE","Lycée Félix Eboué"
"C0076","Promouvoir l'accès aux filières d'excellence en guyane","Guynae","Guynae",973,"Cayenne","LYCEE(S) AVEC CPGE","Lycée Félix Eboué"
"C0074","Pour la promotion des études supérieures scientifiques","Guynae","Guynae",973,"Cayenne","LYCEES SOURCES","Lycée Félix Eboué"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",60,"Beauvais","LYCEES SOURCES","Lycée Félix Faure"
"C0025","Passeport étudiant : les jeudis de la science","Picardie","Amiens",60,"Beauvais","LYCEES SOURCES","Lycée Félix Faure"
"C0128","IEP Paris","Lorraine","Nancy-Metz",57,"Creutzwald","LYCEES SOURCES","Lycée Félix Mayer"
"C0242","Oui nous le pouvons","Ile-de-France","Versailles",75,"Paris","LYCEE(S) AVEC CPGE","Lycée Fénelon"
"C0157","Cap-Ingénieur","Ile-de-France","Paris",75008,"Paris","TETE(S) DE CORDEE","Lycée Fenelon Sainte Marie"
"C0157","Cap-Ingénieur","Ile-de-France","Paris",75008,"Paris","LYCEE(S) AVEC CPGE","Lycée Fenelon Sainte Marie"
"C0223","Egalité des chances-INSA","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEE(S) AVEC CPGE","Lycée Fermat"
"C0224","Ose l'ISAE","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEE(S) AVEC CPGE","Lycée Fermat"
"C0230","Ambitions supérieures - scientifiques","Ile-de-France","Versailles",95,"Argenteuil","LYCEE(S) AVEC CPGE","Lycée Fernand et Nadia Leger"
"C0002","AVENIR","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Gardanne","LYCEES SOURCES","Lycée Fourcade"
"C0013","Préparation à l'université","Provence Alpes Côte d'Azur","Aix-Marseille",13,"Guardanne","LYCEES SOURCES","Lycée Fourcade "
"C0180","Prépa rémois","Champagne-Ardennes","Reims",51,"Vitry-le-François","LYCEES SOURCES","Lycée François 1er"
"C0176","Cordée Arago pour réussir","Champagne-Ardennes","Reims",51,"Reims","LYCEE(S) AVEC CPGE","Lycée François Arago"
"C0177","Cordée Arts et métiers","Champagne-Ardennes","Reims",8,"Charleville-Mézières","LYCEES SOURCES","Lycée François Bazin"
"C0033","Entre en prépa c'est réalisable","Aquitaine","Bordeaux",33,"Bordeaux","LYCEES SOURCES","Lycée François Mauriac"
"C0036","Programme ""égalité des chances"" pour les études en architecture","Aquitaine","Bordeaux",33,"Bordeaux","LYCEES SOURCES","Lycée François Mauriac"
"C0038","Sciences Po Bordeaux, je le peux parce que je le veux","Aquitaine","Bordeaux",33,"Bordeaux","LYCEES SOURCES","Lycée François Mauriac"
"C0148","Les études sup…c'est aussi pour moi","Centre","Orléans-Tours",37,"Chinon","LYCEES SOURCES","Lycée François Rabelais"
"C0136","Cordée 85","Pays de la Loire","Nantes",85,"Fontenay-le-Comte","LYCEES SOURCES","Lycée François Rabelais"
"C0025","Passeport étudiant : les jeudis de la science","Picardie","Amiens",60,"Beauvais","LYCEES SOURCES","Lycée François Truffaut"
"C0228","Ambition d'enseignement supérieur - Lycée du Parc des Loges","Ile-de-France","Versailles",91,"Bondoufle","LYCEES SOURCES","Lycée François Truffaut"
"C0146","Etudier les sciences","Centre","Orléans-Tours",45,"Beaugency","LYCEES SOURCES","Lycée François Villon"
"C0150","Promotion de l'accueil en CPGE économique","Centre","Orléans-Tours",45,"Beaugency","LYCEES SOURCES","Lycée François Villon"
"C0154","Visez loin… Devenez ingénieur","Centre","Orléans-Tours",45,"Beaugency","LYCEES SOURCES","Lycée François Villon"
"C0165","Parcours de réussite du lycée Saint-Louis","Ile-de-France","Paris",75014,"Paris","LYCEES SOURCES","Lycée François Villon"
"C0230","Ambitions supérieures - scientifiques","Ile-de-France","Versailles",78,"Les Mureaux","LYCEES SOURCES","Lycée François Villon"
"C0233","Cordée HEC Académie de Versailles","Ile-de-France","Versailles",78,"Les Mureaux","LYCEES SOURCES","Lycée François Villon"
"C0234","Course en cours","Ile-de-France","Versailles",78,"Les Mureaux","LYCEES SOURCES","Lycée François Villon"
"C0248","Secteur Mantois","Ile-de-France","Versailles",78,"Les Mureaux","LYCEES SOURCES","Lycée François Villon"
"C0228","Ambition d'enseignement supérieur - Lycée du Parc des Loges","Ile-de-France","Versailles",91,"Brunoy","LYCEES SOURCES","Lycée François-Joseph Talma"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",42,"Andrézieux","LYCEES SOURCES","Lycée François-Mauriac Forez"
"C0181","Roosevelt URCA","Champagne-Ardennes","Reims",51,"Reims","LYCEE(S) AVEC CPGE","Lycée Franklin Roosevelt"
"C0110","Réussir à HEC","Martinique","Martinique",972,"Trinité","LYCEE(S) AVEC CPGE","Lycée Frantz Fanon"
"C0111","Réussir à l'IEP de Bordeaux","Martinique","Martinique",972,"Trinité","LYCEE(S) AVEC CPGE","Lycée Frantz Fanon"
"C0112","Réussir à l'INSA","Martinique","Martinique",972,"Trinité","LYCEE(S) AVEC CPGE","Lycée Frantz Fanon"
"C0113","Ambition agropolis","Languedoc-Roussillon","Montpellier",34,"Montpellier","LYCEE(S) AVEC CPGE","Lycée Frédéric Bazille"
