"id_cordee","lib_cordee","region","academie","departement","commune","composante_cordee","lycees_sources"
"C0183","URCA SHS","Champagne-Ardennes","Reims",8,"Charleville-Mézières","LYCEES SOURCES","Lycée Bazin"
"C0140","Ambition grandes écoles","PACA","Nice",6,"Nice","LYCEE(S) AVEC CPGE","Lycée Beau Site"
"C0080","Cordée des sciences de l'ingénieur","Nord-Pas-de-Calais","Lille",59,"Haubourdin","LYCEES SOURCES","Lycée Beaupré"
"C0141","Ambition IEP","PACA","Nice",83,"La Seyne-sur-mer","LYCEES SOURCES","Lycée Beaussier"
"C0143","Les drisses de la réussite","PACA","Nice",83,"La Seyne-sur-mer","LYCEES SOURCES","Lycée Beaussier"
"C0160","CPES","Ile-de-France","Paris",83,"La Seyne-sur-Mer","LYCEES SOURCES","Lycée Beaussier"
"C0079","Croire en soi et réussir à la Réunion","La Réunion","La Réunion",974,"Saint Denis","LYCEE(S) AVEC CPGE","Lycée Bellepierre"
"C0219","Coaching ","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEE(S) AVEC CPGE","Lycée Bellevue"
"C0222","Donnez des ailes à votre avenir","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEE(S) AVEC CPGE","Lycée Bellevue"
"C0219","Coaching ","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEES SOURCES","Lycée Bellevue"
"C0110","Réussir à HEC","Martinique","Martinique",972,"Fort de France","LYCEE(S) AVEC CPGE","Lycée Bellevue"
"C0111","Réussir à l'IEP de Bordeaux","Martinique","Martinique",972,"Fort de France","LYCEE(S) AVEC CPGE","Lycée Bellevue"
"C0112","Réussir à l'INSA","Martinique","Martinique",972,"Fort de France","LYCEE(S) AVEC CPGE","Lycée Bellevue"
"C0071","Un ascenseur pour la réussite","Rhône-Alpes","Grenoble",972,"Fort de France","LYCEES SOURCES","Lycée Bellevue"
"C0150","Promotion de l'accueil en CPGE économique","Centre","Orléans-Tours",45,"Orléans ","LYCEES SOURCES","Lycée Benjamin Franklin"
"C0015","Spé IEP","Provence Alpes Côte d'Azur","Aix-Marseille",84,"L'isles-sur-la-Sorgue","LYCEES SOURCES","Lycée Benoit"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Angers","LYCEE(S) AVEC CPGE","Lycée Bergson"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Angers","LYCEES SOURCES","Lycée Bergson"
"C0156","Cap en Sup","Ile-de-France","Paris",75,"Paris","LYCEES SOURCES","Lycée Bergson"
"C0089","Escapade","Limousin","Limoges",19,"Ussel","LYCEES SOURCES","Lycée Bernard de Ventadour"
"C0146","Etudier les sciences","Centre","Orléans-Tours",45,"Gien","LYCEES SOURCES","Lycée Bernard Palissy"
"C0089","Escapade","Limousin","Limoges",87,"St Léonard-de-Noblat","LYCEES SOURCES","Lycée Bernard Palissy"
"C0077","Réussir la poursuite d'études - Sce Po Paris","Guynae","Guynae",973,"Saint-Laurent du Maroni","LYCEES SOURCES","Lycée Bertene Juminer"
"C0219","Coaching ","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEES SOURCES","Lycée Berthelot"
"C0221","DISPO","Midi-Pyrénées","Toulouse",31,"Toulouse","LYCEES SOURCES","Lycée Berthelot"
"C0160","CPES","Ile-de-France","Paris",93,"Pantin","LYCEES SOURCES","Lycée Berthelot"
"C0192","OPERA : orienter et promouvoir l'excellence et la réussite par l'accompagnement","Bretagne","Rennes",35,"Vitré","LYCEES SOURCES","Lycée Bertrand d'Argentré"
"C0195","Partenariat EN-Rennes 1 et Rennes 2","Bretagne","Rennes",35,"Vitré","LYCEES SOURCES","Lycée Bertrand d'Argentré"
