"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0020048S","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI MARTIN","1  RUE GABRIEL GIRODON","ST QUENTIN",2,2100
"0020049T","LYCEE GENERAL ET TECHNOLOGIQUE","PIERRE DE LA RAMEE","1  RUE JULES SIEGFRIED","ST QUENTIN",2,2100
"0020050U","LGT LYCEE DES METIERS","CONDORCET","ROND-POINT JOLIOT CURIE","ST QUENTIN",2,2100
"0020051V","LP LYCEE DES METIERS","DE L AMEUBLEMENT","Rue FLEMING","ST QUENTIN",2,2100
"0020052W","LP LYCEE DES METIERS","COLARD NOEL","132 avenue DE LA REPUBLIQUE","ST QUENTIN",2,2100
"0020059D","LYCEE GENERAL ET TECHNOLOGIQUE","GERARD DE NERVAL","14  RUE PAUL DEVIOLAINE","SOISSONS CEDEX",2,2209
"0020060E","LYCEE GEN.ET TECHNOL.AGRICOLE","DE CREZANCY","1  RUE DE PARIS","CREZANCY",2,2650
"0011162H","GRETA JURA SUD LEMAN","LYCEE SAINT EXUPERY","15 AVENUE SAINT EXUPERY","BELLEGARDE SUR VALSERINE",1,1200
"0011163J","GRETA VAL BUGEY LEMAN","LYCEE ARBEZ CARME","1  RUE PIERRE ET MARIE CURIE","BELLIGNAT",1,1100
"0021476U","LPO LYCEE DES METIERS","LEONARD DE VINCI","1 espace JEAN GUERLAND","SOISSONS CEDEX",2,2331
"0010099C","LYCEE PROF PRIVE des METIERS","SAINT JOSEPH","3 BIS RUE DU LYCEE","BOURG EN BRESSE",1,1000
"0010001W","LP LYCEE DES METIERS","ALEXANDRE BERARD","223 rue ALEXANDRE BERARD","AMBERIEU EN BUGEY",1,1500
"0010006B","LPO LYCEE DES METIERS","SAINT-EXUPERY","15 avenue SAINT-EXUPERY","BELLEGARDE SUR VALSERINE C",1,1206
"0010007C","LYCEE PROFESSIONNEL","BRILLAT SAVARIN","15 AVENUE SAINT EXUPERY","BELLEGARDE SUR VALSERINE C",1,1206
"0010010F","LYCEE GENERAL ET TECHNOLOGIQUE","DU BUGEY","113 rue DU 5E RTM","BELLEY CEDEX",1,1306
"0010014K","LYCEE GENERAL ET TECHNOLOGIQUE","EDGAR QUINET","5 avenue JEAN MARIE VERNE","BOURG EN BRESSE CEDEX",1,1011
"0010016M","LYCEE POLYVALENT","JOSEPH-MARIE CARRIAT","1  RUE DE CROUY","BOURG EN BRESSE CEDEX",1,1011
"0010020S","LP LYCEE DES METIERS","GEORGES CHARPAK","Avenue CHARLES DE GAULLE","CHATILLON SUR CHALARONNE",1,1400
"0010032E","LYCEE POLYVALENT","XAVIER BICHAT","AVENUE DU LAC","NANTUA",1,1130
"0040533H","LYCEE POLYVALENT","LES ISCLES","116  BOULEVARD REGIS RYCKEBUSH","MANOSQUE",4,4100
"0040536L","PAYE AED","LYCEE PIERRE GILLES DE GENNES","QUARTIER SAINT CHRISTOPHE","DIGNE LES BAINS",4,4000
"0040543U","LYCEE GENERAL","ECOLE INTERNATIONALE PACA","159  AVENUE DR BERNARD FOUSSIER","MANOSQUE CEDEX",4,4102
"0020012C","LPO LYCEE DES METIERS","JEAN DE LA FONTAINE","2 rue MOSBACH","CHATEAU THIERRY CEDEX",2,2405
"0020014E","LGT LYCEE DES METIERS","GAY LUSSAC","23 boulevard GAMBETTA","CHAUNY CEDEX",2,2302
"0011326L","LYCEE GENERAL ET TECHNOLOGIQUE","DE LA COTIERE","270  CHEMIN DU GRAND CASSET","LA BOISSE",1,1120
"0011242V","GRETA BUGEY","LYCEE ALEXANDRE BERARD","223 RUE ALEXANDRE BERARD","AMBERIEU EN BUGEY",1,1500
"0010050Z","LYCEE PROFESSIONNEL",,"13 PLACE DES DEPORTES","OYONNAX",1,1100
"0020022N","LYCEE PROFESSIONNEL","JEAN MONNET","22 rue D ABOVILLE","LA FERE",2,2800
"0020023P","LYCEE PROFESSIONNEL",,"9 RUE DU CHATEAU","FERE EN TARDENOIS",2,2130
"0020031Y","LGT LYCEE DES METIERS","FREDERIC ET IRENE JOLIOT CURIE","1  PLACE DU PIGEON BLANC","HIRSON",2,2500
"0020032Z","LYCEE GENERAL ET TECHNOLOGIQUE","PAUL CLAUDEL","PLACE FOCH","LAON CEDEX",2,2001
"0020034B","LYCEE POLYVALENT","PIERRE MECHAIN","19 rue LEO LAGRANGE","LAON CEDEX",2,2011
"0021479X","LYCEE PROFESSIONNEL","FRANCOISE DOLTO","4 avenue DES LILAS","GUISE",2,2120
"0021480Y","RESTAU.UNIV.DU LYCEE H.MARTIN","C.R.O.U.SD AMIENS","PLACE EDOUARD-BRANLY","ST QUENTIN",2,2100
"0011258M","LYCEE PROFESSIONNEL PRIVE","ENSEMBLE SCOLAIRE LAMARTINE","41 rue GEORGES GIRERD","BELLEY CEDEX",1,1302
"0011276G","LYCEE GENERAL ET TECHNOLOGIQUE","DU VAL DE SAONE","220  CHEMIN D'ARRAS","TREVOUX CEDEX",1,1606
"0020089L","LP LYCEE DES METIERS","FREDERIC ET IRENE JOLIOT CURIE","5 RUE RUE CHANZY","HIRSON",2,2500
"0040034R","LYCEE GEN.ET TECHNOL.PRIVE","LE SACRE COEUR","2  AVENUE DES THERMES","DIGNE LES BAINS",4,4000
"0020491Y","LYCEE GEN.ET TECHNOL.PRIVE","C.C.I.A.","ESPACE JEAN BOUIN","ST QUENTIN",2,2100
"0040465J","LYCEE TECHNOLOGIQUE PRIVE","SACRE COEUR (LE)","2 AVENUE DES THERMES","DIGNE LES BAINS",4,4000
"0011119L","LPO LYCEE DES METIERS","ARBEZ CARME","1 rue PIERRE ET MARIE CURIE","BELLIGNAT",1,1100
"0011120M","LP LYCEE DES METIERS","ARBEZ CARME","1 RUE PIERRE ET MARIE CURIE","OYONNAX CEDEX",1,1117
"0022109G","LYCEE PROFESSIONNEL PRIVE","DU VAL DE SERRE","10 RUE DE LA HALLE","POUILLY SUR SERRE",2,2270
"0050626D","ACHAT","LYCEE DOMINIQUE VILLARS","PLACE DE VERDUN","GAP CEDEX",5,5007
"0050627E","PAYE AED","LYCEE DOMINIQUE VILLARS","PLACE DE VERDUN","GAP CEDEX",5,5007
"0020492Z","LYCEE PROF PRIVE des METIERS","ST VINCENT DE PAUL","13  AVENUE DE REIMS","SOISSONS CEDEX",2,2207
"0020493A","LYCEE PROFESSIONNEL PRIVE","LACORDAIRE","ROUTE DE LAON","CHARMES",2,2800
"0030924N","LYCEE PROFESSIONNEL","VAL D'ALLIER","15 RUE DU BEAUPUY","VARENNES SUR ALLIER",3,3150
"0030138J","CTRE PROMOTION PROFESSIONNELLE","DU LYCEE TECHNIQUE DE MOULINS","12 RUE DU REPOS","YZEURE",3,3400
"0010069V","LYCEE GEN.ET TECHNOL.PRIVE","ENSEMBLE SCOLAIRE LAMARTINE","41 rue GEORGES GIRERD","BELLEY CEDEX",1,1302
"0010070W","LYCEE GEN.ET TECHNOL.PRIVE","SAINT PIERRE","7  RUE VILLENEUVE","BOURG EN BRESSE",1,1000
"0010072Y","LYCEE GENERAL ET TECHNOLOGIQUE","INTERNATIONAL","Avenue DES SPORTS","FERNEY VOLTAIRE",1,1210
"0010075B","LYCEE GEN.ET TECHNOL.PRIVE","SAINT JOSEPH","101 rue HENRI GROBON","MIRIBEL",1,1700
"0022042J","LPO LYCEE DES METIERS","JEAN BOUIN","Rue GASTON BACHELARD","ST QUENTIN",2,2100
"0022044L","LPO LYCEE DES METIERS","LE CORBUSIER","Passage LE CORBUSIER","SOISSONS CEDEX",2,2331
"0022045M","SECTION ENSEIGNT PROFESSIONNEL","LYCEE HOTELIER","PASSAGE LE CORBUSIER-CHEVREUX","SOISSONS CEDEX",2,2331
"0022070P","CTR DE FORMATION CONTINUE","LYCEE ST JOSEPH CHATEAU THIERR","4 PLACE THIERS CHATEAU-THIERRY","CHATEAU THIERRY",2,2400
"0070098U","LYCEE TECHNOL PR","DU SACRE COEUR","7 AVENUE DE LA GARE","TOURNON SUR RHONE CEDEX",7,7301
"0070099V","LYCEE TECHNOLOGIQUE PRIVE","SAINT ANDRE","18 RUE EMILE COMBES","LE TEIL",7,7400
"0070100W","LYCEE PROFESSIONNEL PRIVE","MARC SEGUIN","ROUTE DE CALIFORNIE","ANNONAY",7,7100
"0070107D","LYCEE PROFESSIONNEL PRIVE","MARIE RIVIER","21 avenue NOTRE DAME","BOURG ST ANDEOL",7,7700
"0070112J","LYCEE PROFESSIONNEL PRIVE","SAINT ANDRE","18  RUE EMILE COMBES","LE TEIL",7,7400
"0070114L","LYCEE PROF PRIVE DES METIERS","NOTRE DAME","26 AVENUE DU VANEL","PRIVAS",7,7000
"0070115M","LYCEE PROF PRIVE des METIERS","JULES FROMENT","18  RUE JEAN MERMOZ","AUBENAS CEDEX",7,7201
"0061763J","LYCEE GENERAL ET TECHNOLOGIQUE","GUILLAUME APOLLINAIRE","29  BOULEVARD JEAN BAPTISTE VERA","NICE",6,6300
"0022038E","CUISINE CENTRALE","LYCEE CONDORCET","ROND-POINT JOLIOT CURIE","ST QUENTIN",2,2100
"0022040G","CUISINE CENTRALE","LYCEE LEONARD DE VINCI","1 ESPACE JEAN GUERLAND","SOISSONS CEDEX",2,2331
"0030016B","LYCEE GENERAL ET TECHNOLOGIQUE",,"8 RUE SAINT JAMES","GANNAT",3,3800
"0031082K","LYCEE POLYVALENT","VALERY LARBAUD","8 boulevard GABRIEL PERONNET","CUSSET CEDEX",3,3306
"0021726R","LYCEE PROFESSIONNEL","CHATEAU THIERRY","1 AVENUE DE CHAMPAGNE","CHATEAU THIERRY",2,2400
"0021512H","CENTRE DE PROMOTION SOCIALE","LYCEE ENSEIG.PROFES.","26 RUE DU VIEUX PORT","ST QUENTIN",2,2100
"0021514K","CENTRE DE PROMOTION SOCIALE","LYCEE TECHNIQUE D ETAT MIXTE",,"ST QUENTIN",2,2100
"0021517N","CENTRE DE PROMOTION SOCIALE","LYCEE D ENSEIGNEMENT PROFES.","BOULEVARD DE PRESLES","SOISSONS",2,2200
"0030073N","LYCEE GEN.ET TECHNOL.PRIVE","SAINTE PROCULE","10 RUE DES AUGUSTINS","GANNAT",3,3800
"0030084A","LYCEE GENERAL PRIVE","SAINT BENOIT","4  RUE ACHILLE ROCHE","MOULINS CEDEX",3,3008
"0030105Y","LYCEE PROFESSIONNEL PRIVE","SAINTE-LOUISE","150 BOULEVARD DE COURTAIS","MONTLUCON",3,3100
"0030112F","LYCEE PROFESSIONNEL PRIVE","ANNA RODIER","10  RUE DE BOURGOGNE","MOULINS",3,3000
"0021523V","LYCEE PROFESSIONNEL AGRICOLE","D AUMONT","PLACE FOCH","COUCY LA VILLE",2,2380
"0011058V","LYCEE PRIVE PROF RURAL","ST-SORLIN-EN-BUGEY","10 PLACE DE LA HALLE","ST SORLIN EN BUGEY",1,1150
"0021885N","GRETA SAINT QUENTIN - CHAUNY","LYCÉES CONDORCET - GAY LUSSAC","ROND-POINT JOLIOT CURIE","ST QUENTIN",2,2100
"0021886P","GRETA SUD AISNE","LYCÉE L. DE VINCI SOISSONS","1 espace JEAN GUERLAND","SOISSONS CEDEX",2,2331
"0030118M","LYCEE PROFESSIONNEL AGRICOLE","ANTOINE BRUN","44 AVENUE CHARLES DE GAULLE","LAPALISSE",3,3120
"0022125Z","CFA DU LYCEE ROBERT SCHUMAN","CFA ROBERT SCHUMAN","10 ROUTE D'UGNY","CHAUNY",2,2300
"0020503L","LYCEE PROFESSIONNEL PRIVE","C.C.I.A","RUE MARCEL PAUL","SOISSONS",2,2200
"0040023D","LPO LYCEE DES METIERS","PAUL ARENE","13  AVENUE DU STADE","SISTERON CEDEX",4,4203
"0040027H","LYCEE GENERAL ET TECHNOLOGIQUE","ALEXANDRA DAVID NEEL","17 avenue GENERAL LECLERC","DIGNE LES BAINS",4,4000
"0031083L","EMOP - ENT-MAT-BUR-AUDIOVISUEL","LYCEE THEODORE DE BANVILLE","12 COURS VINCENT D'INDY","MOULINS CEDEX",3,3017
"0040502Z","LYCEE PROFESSIONNEL PRIVE","SACRE COEUR (DU)","2  AVENUE DES THERMES","DIGNE LES BAINS",4,4000
"0021906L","LYCEE PROF PRIVE DES METIERS","SAINT CHARLES","1 rue DU BROUAGE","CHAUNY",2,2300
"0011194T","LYCEE GENERAL ET TECHNOLOGIQUE","DE LA PLAINE DE L'AIN","Rue LEON BLUM","AMBERIEU EN BUGEY",1,1500
"0040452V","COURS DE PROMOTIN SOCIALE","LYCEE D ENS PROFESSIONNEL","BOULEVARD DU TEMPS PERDU","MANOSQUE",4,4100
"0040453W","COURS DE PROMOTION SOCIALE","LYCEE FELIX ESCLANGON","BOULEVARD MARTIN BRET","MANOSQUE",4,4100
"0020077Y","LP LYCEE DES METIERS","GAY LUSSAC","BOULEVARD GAMBETTA","CHAUNY CEDEX",2,2302
"0020078Z","LYCEE PROFESSIONNEL","JULIE DAUBIE","3 place ROBERT AUMONT","LAON CEDEX",2,2011
"0020079A","LP LYCEE DES METIERS","CONDORCET","Rond-point JOLIOT CURIE","ST QUENTIN",2,2100
"0030935A","LYCEE POLYVALENT PRIVE","D'ENSEIGNEMENT SUP. DE V ICHY","17  AVENUE DES CELESTINS","VICHY",3,3200
"0031097B","SECTION D'APPRENTISSAGE","LYCEE JEAN MONNET","39 PLACE JULES FERRY","YZEURE CEDEX",3,3401
"0020088K","LP LYCEE DES METIERS","CAMILLE CLAUDEL","9 rue DE PANLEU","SOISSONS CEDEX",2,2209
"0040490L","LYCEE GENERAL ET TECHNOLOGIQUE","PIERRE-GILLES DE GENNES","2  ROUTE DE MARSEILLE","DIGNE LES BAINS",4,4000
"0021892W","SECTION ENSEIGNT PROFESSIONNEL","LYCEE JEAN MACE","7 RUE ANDRE TERNYNCK","CHAUNY",2,2300
"0021871Y","LYCEE GEN.ET TECHNOL.PRIVE","SAINT JOSEPH","2 CHAUSSÉE DE FONTAINE","FONTAINE LES VERVINS",2,2140
"0060075Z","LYCEE GENERAL ET TECHNOLOGIQUE","LES EUCALYPTUS","7  AVENUE DES EUCALYPTUS","NICE CEDEX 3",6,6206
"0060080E","LYCEE PROFESSIONNEL","HOTELIER","144 RUE DE FRANCE","NICE CEDEX 1",6,6048
"0022000N","LYCEE PROFESSIONNEL PRIVE","LA PROVIDENCE","2 RUE CLERJOT","LAON CEDEX",2,2001
"0022001P","LYCEE PROFESSIONNEL PRIVE","C.C.I.A.","ESPACE JEAN BOUIN","ST QUENTIN",2,2100
"0022002R","LYCEE PROFESSIONNEL PRIVE","SAINT JOSEPH","2 CHAUSSÉE DE FONTAINE","FONTAINE LES VERVINS",2,2140
"0022008X","LP LYCEE DES METIERS","JEAN MACE","7 RUE ANDRE TERNYNCK","CHAUNY",2,2300
"0080926N","LYCEE PROFESSIONNEL","ANNEXE DU LYC DE VOUZIERS","RUE DE LA FUSION","VOUZIERS",8,8400
"0060001U","LYCEE GENERAL ET TECHNOLOGIQUE","JACQUES AUDIBERTI","63 boulevard WILSON","ANTIBES CEDEX",6,6605
"0060002V","LYCEE PROFESSIONNEL","JACQUES DOLLE","120 CHEMIN DE SAINT CLAUDE","ANTIBES",6,6600
"0060009C","LYCEE GENERAL ET TECHNOLOGIQUE","AUGUSTE RENOIR","18 avenue MARCEL PAGNOL","CAGNES SUR MER CEDEX",6,6802
"0060011E","LYCEE GENERAL","CARNOT","90 boulevard CARNOT","CANNES CEDEX",6,6414
"0060012F","LYCEE GENERAL","CAPRON","5 BOULEVARD ALEXANDRE III","CANNES",6,6400
"0021873A","LYCEE GEN.ET TECHNOL.PRIVE","ST JEAN LA CROIX","25  RUE ANTOINE LECUYER","ST QUENTIN CEDEX",2,2105
"0110004V","LYCEE GENERAL ET TECHNOLOGIQUE","PAUL SABATIER","36  RUE ALFRED DE MUSSET","CARCASSONNE CEDEX 9",11,11802
"0110007Y","LPO LYCEE DES METIERS","JULES FIL","BOULEVARD JOLIOT CURIE","CARCASSONNE CEDEX 9",11,11890
"0061822Y","LYCEE TECHNOLOGIQUE PRIVE","FENELON","7 ROUTE NAPOLEON","GRASSE",6,6130
"0030026M","LPO LYCEE DES METIERS","PAUL CONSTANS","Rue CHRISTOPHE THIVRIER","MONTLUCON CEDEX",3,3107
"0050005D","LP LYCEE DES METIERS","ALPES ET DURANCE","QUARTIER DE LA ROBEYERE","EMBRUN",5,5200
"0050006E","LYCEE GENERAL ET TECHNOLOGIQUE","DOMINIQUE VILLARS","PLACE DE VERDUN","GAP CEDEX",5,5010
"0050007F","LYCEE GENERAL ET TECHNOLOGIQUE","ARISTIDE BRIAND","20 AVENUE COMMANDANT DUMONT","GAP CEDEX",5,5007
"0080943G","LYCEE AGRICOLE PRIVE","MAUBERT FONTAINE","18 RUE DU CHATEAU","MAUBERT FONTAINE",8,8260
"0060013G","LYCEE GENERAL ET TECHNOLOGIQUE","BRISTOL","10 avenue ST NICOLAS","CANNES CEDEX",6,6414
"0060014H","LYCEE GENERAL ET TECHNOLOGIQUE","JULES FERRY","82 BOULEVARD DE LA REPUBLIQUE","CANNES CEDEX",6,6414
"0090003E","LYCEE PROFESSIONNEL","JEAN DURROUX","1  AVENUE JEAN DURROUX","FERRIERES SUR ARIEGE",9,9000
"0090006H","LP LYCEE DES METIERS","JOSEPH MARIE JACQUARD","Rue JACQUARD","LAVELANET",9,9300
"0040447P","COURS DE PROMOTION SOCIALE","LYCEE PAUL ARENE","QUARTIER DE BEAULIEU","SISTERON",4,4200
"0021872Z","LYCEE GEN.ET TECHNOL.PRIVE","LA PROVIDENCE","2  RUE CLERJOT","LAON CEDEX",2,2001
"0060750H","LYCEE POLYVALENT PRIVE","INSTITUTION ST JOSEPH CARNOLES","191 AVENUE ARISTIDE BRIAND","ROQUEBRUNE CAP MARTIN",6,6190
"0061991G","LYCEE GENERAL ET TECHNOLOGIQUE","ALLIANCE/APEDA","22  RUE MICHELET","NICE",6,6100
"0021818R","LYCEE AGRICOLE PRIVE","ROBERT SCHUMAN","10 ROUTE D'UGNY","CHAUNY",2,2300
"0050009H","LP LYCEE DES METIERS","SEVIGNE","6 RUE JEAN MACE","GAP CEDEX",5,5003
"0050012L","LYCEE GEN.ET TECH. AGRICOLE","HAUTES-ALPES (DES)",,"GAP",5,5000
"0050027C","LYCEE PROFESSIONNEL","PIERRE MENDES FRANCE","PLACE DES AIRES","VEYNES",5,5400
"0061691F","LGT LYCEE DES METIERS","THIERRY MAULNIER","2  AVENUE CLAUDE DEBUSSY","NICE",6,6200
"0061693H","LYCEE GEN.ET TECHNOL.PRIVE","STE MARIE","4 AVENUE WINDSOR","CANNES",6,6400
"0061160D","LYCEE TECHNIQUE PRIVE","INSTITUT SUPERIEUR E. S. F.","1 PLACE SASSERNO","NICE",6,6000
"0030036Y","LYCEE GENERAL","THEODORE DE BANVILLE","12 cours VINCENT D'INDY","MOULINS CEDEX",3,3017
"0030037Z","LYCEE GENERAL","LYCEE CLASS.ET MOD.ETAT","26 RUE DU 8 MAI","MOULINS",3,3000
"0030038A","LPO LYCEE DES METIERS","JEAN MONNET","39 place JULES FERRY","YZEURE CEDEX",3,3401
"0030051P","LGT LYCEE DES METIERS","ALBERT LONDRES","BOULEVARD DU 8 MAI 1945","CUSSET CEDEX",3,3306
"0050004C","LYCEE CLIMATIQUE","HONORE ROMANE","ROUTE DE CALEYERE","EMBRUN CEDEX",5,5202
"0030059Y","LYCEE PROFESSIONNEL","MAURICE GUYOT","RUE ERNEST MONTUSES","MONTLUCON CEDEX",3,3105
"0030061A","LP LYCEE DES METIERS","ALBERT LONDRES","BOULEVARD DU 8 MAI 1945","CUSSET CEDEX",3,3306
"0031041R","LYCEE TECHNOLOGIQUE PRIVE","ANNA RODIER","10  RUE DE BOURGOGNE","MOULINS",3,3000
"0031043T","LPO LYCEE DES METIERS","ALBERT EINSTEIN","Rue ALBERT EINSTEIN","MONTLUCON CEDEX",3,3105
"0031046W","LYCEE PROFESSIONNEL PRIVE","FORMATION CONTINUE - NIXOR","62 AVENUE PAUL DOUMER","VICHY",3,3200
"0031047X","LYCEE PROFESSIONNEL AGRICOLE","DURDAT LAREQUILLE",,"DURDAT LAREQUILLE",3,3310
"0040010P","LYCEE GENERAL ET TECHNOLOGIQUE","FELIX ESCLANGON","BOULEVARD MARTIN BRET","MANOSQUE CEDEX",4,4103
"0040011R","LP LYCEE DES METIERS","LOUIS MARTIN BRET","ALLÉE DU PARC","MANOSQUE CEDEX",4,4101
"0101022G","LP LYCEE DES METIERS","EDOUARD HERRIOT","Rue LA MALADIERE","LA CHAPELLE ST LUC",10,10600
"0101028N","LYCEE GENERAL","CAMILLE CLAUDEL","28  RUE DES TERRASSES","TROYES CEDEX",10,10026
"0060081F","LYCEE PROFESSIONNEL","FERRY (JULES)","82 BOULEVARD DE LA REPUBLIQUE","CANNES CEDEX",6,6402
"0060082G","LP LYCEE DES METIERS","LES EUCALYPTUS","7  AVENUE DES EUCALYPTUS","NICE CEDEX 3",6,6206
"0021938W","LYCEE GEN.ET TECHNOL.PRIVE","C.C.I.A.","RUE MARCEL PAUL","SOISSONS",2,2200
"0061374L","LYCEE GENERAL","VALBONNE (DE)",,,6,6565
"0100003Z","LYCEE POLYVALENT","GASTON BACHELARD","33 rue GASTON BACHELARD","BAR SUR AUBE CEDEX",10,10202
"0100004A","LP LYCEE DES METIERS","VAL MORE","13 avenue BERNARD PIEDS","BAR SUR SEINE",10,10110
"0100015M","LYCEE GENERAL ET TECHNOLOGIQUE","F. ET I. JOLIOT CURIE","1 rue GUY MOQUET","ROMILLY SUR SEINE",10,10100
"0061884R","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI MATISSE","101  AVENUE FOCH","VENCE",6,6140
"0090019X","LP LYCEE DES METIERS","ARISTIDE BERGES","AVENUE DE LA GARE","ST GIRONS CEDEX",9,9201
"0090022A","LYCEE GEN.ET TECH. AGRICOLE","EPLA DE PAMIERS","ROUTE DE BELPECH","PAMIERS",9,9100
"0090024C","LP LYCEE DES METIERS","DR PHILIPPE TISSIE","17 RUE DU CAPUS","SAVERDUN",9,9700
"0021768L","CENTRE DE PROMOTION SOCIALE","LYCEE TECH.NAT.BD.DE PRESLE","3 RUE BARA","SOISSONS",2,2200
"0090013R","LYCEE POLYVALENT",,"Route DE LIMOUX","MIREPOIX",9,9500
"0090015T","LYCEE POLYVALENT","PYRENE","PLACE DU MERCADAL","PAMIERS CEDEX",9,9104
"0021939X","LYCEE POLYVALENT","JULES VERNE",,"CHATEAU THIERRY CEDEX",2,2401
"0050628F","EMPLOYEUR","LYCEE DOMINIQUE VILLARS","PLACE DE VERDUN","GAP CEDEX",5,5010
"0021960V","SECTION ENSEIGNT PROFESSIONNEL","LYCEE JEAN DE LA FONTAINE","2 RUE MOSBACH","CHATEAU THIERRY CEDEX",2,2405
"0021961W","SECTION ENSEIGNT PROFESSIONNEL","LYCEE PIERRE MECHAIN","19 rue LEO LAGRANGE","LAON CEDEX",2,2011
"0021692D","CENTRE DE PROMOTION SOCIALE","DU LYCEE TECHNIQUE","BOULEVARD DE PRESLES","SOISSONS",2,2200
"0021694F","CENTRE DE PROMOTION SOCIALE","LYCEE TECH.PIERRE MECHAIN",,"LAON",2,2000
"0040007L","LP LYCEE DES METIERS","ALPHONSE BEAU DE ROCHAS","10  AVENUE GENERAL LECLERC","DIGNE LES BAINS",4,4000
"0030025L","LYCEE GENERAL","MADAME DE STAEL",,"MONTLUCON CEDEX",3,3103
"0050035L","LYCEE GENERAL PRIVE","ST JOSEPH","2 RUE DES PINS","GAP",5,5000
"0110710M","LYCEE PROFESSIONNEL AGRICOLE","NARBONNE","CENTRE PIERRE REVERDY","NARBONNE CEDEX",11,11782
"0090045A","LYCEE PROFESSIONNEL PRIVE","LES JACOBINS","7 BIS RUE DU REMPART TOURONCQ","PAMIERS",9,9100
"0071439B","LYCEE PROFESSIONNEL PRIVE","VAL EYRIEUX","CHEMIN","ST LAURENT DU PAPE",7,7800
"0062015H","LYCEE GENERAL ET TECHNOLOGIQUE","SIMONE VEIL","1265 ROUTE DE BIOT","VALBONNE",6,6560
"0070001N","LPO LYCEE DES METIERS","BOISSY D'ANGLAS","50 avenue JEAN JAURES","ANNONAY CEDEX",7,7104
"0070004S","LYCEE POLYVALENT","ASTIER",,"AUBENAS CEDEX",7,7205
"0061642C","LYCEE GENERAL ET TECHNOLOGIQUE","INTERNATIONAL","190  RUE F. MISTRAL","SOPHIA ANTIPOLIS CEDEX",6,6902
"0050542M","COURS DE PROMOTION SOCIALE","LYCEE CLIMATIQUE D ALTITUDE","2 RUE MARIUS CHANCEL","BRIANCON CEDEX",5,5105
"0050547T","COURS DE PROMOTION SOCIALE","LYCEE DOMINIQUE VILLARS","PLACE DE VERDUN","GAP",5,5000
"0050550W","COURS DE PROMOTION SOCIALE","LYCEE ARISTIDE BRIAND","20 AVENUE COMMANDANTDUMONT","GAP",5,5000
"0070016E","LYCEE PROFESSIONNEL","HOTELIER","Route DE TAURIERS","LARGENTIERE",7,7110
"0060773H","LYCEE GEN.ET TECHNOL.PRIVE","DON BOSCO","40  PLACE DON BOSCO","NICE CEDEX 1",6,6046
"0060774J","LYCEE POLYVALENT PRIVE","SAINT JOSEPH","14  RUE BARLA","NICE",6,6300
"0061463H","LYCEE PROFESSIONNEL PRIVE","SAINT JOSEPH","14 RUE BARLA","NICE",6,6300
"0061635V","LYCEE PROFESSIONNEL","AUGUSTE ESCOFFIER","Chemin DU BRECQ","CAGNES SUR MER CEDEX",6,6801
"0121292P","LYCEE PROF.AGRICOLE PRIVE","VAXERGUES ST AFFRIQUE","198 AVENUE DU DR GALTIER","ST AFFRIQUE",12,12400
"0061466L","LYCEE TECHNOLOGIQUE PRIVE","INSTITUTION ST JOSEPH-CARNOLES","191 AVENUE ARISTIDE BRIAND","ROQUEBRUNE CAP MARTIN",6,6190
"0070029U","LPO LYCEE DES METIERS","GABRIEL FAURE","Place MALLARME","TOURNON SUR RHONE CEDEX",7,7301
"0070031W","LP LYCEE DES METIERS","MARIUS BOUVIER","69 avenue LAMASTRE","TOURNON SUR RHONE CEDEX",7,7301
"0060023T","LYCEE PROFESSIONNEL","FRANCIS DE CROISSET","34 CHEMIN DE LA CAVALERIE","GRASSE",6,6130
"0060027X","LP LYCEE DES METIERS","PIERRE ET MARIE CURIE","353 AVENUE DU DOYEN JEAN LEPINE","MENTON",6,6500
"0060028Y","LP LYCEE DES METIERS","PAUL VALERY","1 avenue SAINT JACQUES","MENTON",6,6500
"0060030A","LYCEE GENERAL","MASSENA","2 avenue FELIX FAURE","NICE CEDEX 1",6,6050
"0060031B","LYCEE GENERAL ET TECHNOLOGIQUE","ALBERT CALMETTE","5  AVENUE MARECHAL FOCH","NICE CEDEX 1",6,6050
"0060034E","LPO LYCEE DES METIERS","HOTELIER TOURISME-PAUL AUGIER","163 boulevard RENE CASSIN","NICE CEDEX 3",6,6203
"0061561P","LP LYCEE DES METIERS","ALFRED HUTINEL","21 rue DE CANNES","CANNES",6,6150
"0060692V","ECOLE 2D DEGRE GENERAL PRIVEE","LYCEE PRIVE MICHELET","46 rue GIOFFREDO","NICE",6,6000
"0060814C","LYCEE PROFESSIONNEL PRIVE","INSTITUTION ST JOSEPH CARNOLES","191 AVENUE ARISTIDE BRIAND","ROQUEBRUNE CAP MARTIN",6,6190
"0100697D","COURS DE PROMOTION SOCIALE","DU LYCEE D ETAT","118 AVENUE PASTEUR",,10,10027
"0060715V","LYCEE PROFESSIONNEL PRIVE","LA PROVIDENCE","12  AVENUE PIERRE ISNARD","NICE",6,6200
"0060729K","LYCEE GENERAL PRIVE","STANISLAS","25  AVENUE BIECKERT","NICE CEDEX 1",6,6008
