"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0590188J","LYCEE PROFESSIONNEL","JEAN MOULIN","49 BOULEVARD DU GENERAL DE GAULL","ROUBAIX CEDEX 1",59,59051
"0590189K","LYCEE PROFESSIONNEL","LAVOISIER","31  RUE LAVOISIER","ROUBAIX CEDEX 1",59,59059
"0590216P","LYCEE PROFESSIONNEL","LE CORBUSIER","80 rue DES PIATS","TOURCOING CEDEX",59,59208
"0590217R","LP LYCEE DES METIERS","SEVIGNE","151  RUE DE LA MALCENSE","TOURCOING CEDEX",59,59208
"0592850C","LYCEE PROFESSIONNEL","ANTOINE DE SAINT EXUPERY","1 RUE LOUIS PERGAUD","HALLUIN CEDEX",59,59431
"0561861U","LYCEE PROFESSIONNEL MARITIME","CENTRE FRANCOIS TOULLEC","10 RUE FRANCOIS TOULLEC","LORIENT",56,56100
"0580062C","LYCEE GEN.ET TECHNOL.PRIVE","SAINT CYR","22 RUE JEANNE D ARC","NEVERS CEDEX",58,58007
"0593255T","LYCEE GEN.ET TECHNOL.AGRICOLE","LYCEE  DOUAI-WAGNONVILLE","458 RUE DE LA MOTTE JULIEN","DOUAI CEDEX",59,59507
"0593257V","LYCEE AGRICOLE PRIVE","INSTITUT DE GENECH","RUE DE LA LIBERATION","GENECH",59,59242
"0590121L","LGT LYCEE DES METIERS","CESAR BAGGIO","332  BOULEVARD D'ALSACE","LILLE",59,59000
"0590122M","LPO LYCEE DES METIERS","VALENTINE LABBE","41 rue PAUL DOUMER","LA MADELEINE CEDEX",59,59563
"0590123N","LYCEE PROFESSIONNEL",,"115 RUE FRANCISCO FERRER","LILLE CEDEX",59,59007
"0595770B","LYCEE PROFESSIONNEL AGRICOLE","DUNKERQUE","1972 RUE DE LEFFRINCKOUCKE","DUNKERQUE",59,59240
"0595771C","LYCEE PROFESSIONNEL AGRICOLE","RAISMES","RUE DU CHATEAU","RAISMES",59,59590
"0593027V","LYCEE PROF PRIVE DES METIERS","INDUSTRIES LILLOISES (E.P.I.L.","82 rue DES MEUNIERS","LILLE",59,59000
"0592964B","LYCEE PROFESSIONNEL PRIVE","LEONARD DE VINCI","10 rue NOTRE DAME DES VICTOIRES","ROUBAIX",59,59100
"0592966D","LYCEE POLYVALENT PRIVE LYCEE D","EIC JEHANNE D'ARC","106 rue DE LILLE","TOURCOING CEDEX",59,59202
"0592967E","LYCEE POLYVALENT PRIVE","LA SAGESSE","40 rue DE MONS","VALENCIENNES CEDEX",59,59306
"0592969G","LYCEE POLYVALENT PRIVE","DAMPIERRE","85 avenue DE DENAIN","VALENCIENNES",59,59300
"0572632B","LYCEE TECHNOLOGIQUE PRIVE","SAINTE CHRETIENNE","9 RUE SAINT GENGOULF","METZ",57,57000
"0595809U","LYCEE GENERAL ET TECHNOLOGIQUE","DE L'ESCAUT","1 avenue DE SAINT AMAND","VALENCIENNES CEDEX",59,59305
"0590168M","LYCEE POLYVALENT","EUGENE THOMAS","100 avenue LEO LAGRANGE","LE QUESNOY",59,59530
"0572639J","LYCEE PROFESSIONNEL","HOTELIER","BOULEVARD DE LA DEFENSE","METZ",57,57070
"0590221V","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI WALLON","16 place DE LA REPUBLIQUE","VALENCIENNES CEDEX",59,59322
"0590223X","LT LYCEE DES METIERS","DU HAINAUT","1 avenue VILLARS","VALENCIENNES CEDEX",59,59322
"0590266U","LP LYCEE DES METIERS","CESAR BAGGIO","332  BOULEVARD D'ALSACE","LILLE",59,59000
"0590268W","LYCEE PROFESSIONNEL","CITE SCOLAIRE PIERRE FOREST","BOULEVARD CHARLES DE GAULLE","MAUBEUGE CEDEX",59,59605
"0590269X","LYCEE PROFESSIONNEL","COLBERT","2 PARVIS JEAN BAPTISTE COLBERT","TOURCOING CEDEX",59,59208
"0590233H","LYCEE POLYVALENT","EMILE ZOLA","174 rue DE LA BAILLERIE","WATTRELOS CEDEX",59,59391
"0594532F","LP LYCEE DES METIERS","AMBROISE CROIZAT","Rue MARCEL PAUL","AUBY",59,59950
"0572217A","COURS PROFESSIONNELS","DU LYCEE ROBERT SCHUMAN","4 RUE MONSEIGNEUR PELT","METZ",57,57000
"0572951Y","LYCEE PROFESSIONNEL PRIVE","NOTRE DAME DE LA PROVIDENCE","22  PLACE NOTRE DAME","THIONVILLE CEDEX",57,57126
"0590063Y","LYCEE GENERAL","ALBERT CHATELET","357 rue MARCELINE","DOUAI",59,59500
"0573366Z","LYCEE TECHNOLOGIQUE PRIVE","SAINT VINCENT DE PAUL","4 RUE MARIE DOUCHET","ALGRANGE",57,57440
"0590198V","LYCEE PROFESSIONNEL","GEORGES GUYNEMER","99 rue DE LA REPUBLIQUE","DUNKERQUE",59,59430
"0573073F","LYCEE TECHNOLOGIQUE PRIVE","SAINT JOSEPH-LA PROVIDENCE","10 RUE DE L'ABBE HEYDEL","FREYMING MERLEBACH CEDEX",57,57801
"0590156Z","LYCEE PROFESSIONNEL",,"19 RUE DE DUNKERQUE","ONNAING",59,59264
"0590207E","LYCEE GENERAL ET TECHNOLOGIQUE","LOUIS PASTEUR","151  BOULEVARD LOUISE MICHEL","SOMAIN",59,59490
"0590214M","LPO LYCEE DES METIERS","COLBERT","2  PARVIS JEAN BAPTISTE COLBERT","TOURCOING CEDEX",59,59208
"0590215N","LGT LYCEE DES METIERS","SEVIGNE","151 RUE DE LA MALCENSE","TOURCOING CEDEX",59,59208
"0590249A","LYCEE PROFESSIONNEL","JACQUES-YVES COUSTEAU","27  RUE PASTEUR","WASQUEHAL CEDEX",59,59444
"0592932S","LYCEE GENERAL PRIVE","SAINTE MARIE","31 RUE DE L'EGLISE","BEAUCAMPS LIGNY",59,59134
"0592935V","LYCEE GENERAL PRIVE","LA CROIX BLANCHE","1833 AVENUE DU GENERAL DE GAULLE","BONDUES CEDEX",59,59588
"0592938Y","LYCEE GEN.ET TECHNOL.PRIVE","SAINT LUC","9 RUE LOUIS BELMAS","CAMBRAI CEDEX",59,59402
"0592940A","LYCEE GENERAL PRIVE","SAINT JEAN","246  RUE SAINT JEAN","DOUAI CEDEX",59,59506
"0590064Z","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN-BAPTISTE COROT","133  RUE SAINT VAAST","DOUAI CEDEX",59,59508
"0590065A","LGT LYCEE DES METIERS","EDMOND LABBE","817 rue CHARLES BOURSEUL","DOUAI CEDEX",59,59508
"0596264N","LYCEE TECHNOLOGIQUE PRIVE","NOTRE-DAME D'ANNAY","15 PLACE DU CONCERT","LILLE",59,59800
"0596265P","LYCEE GENERAL PRIVE","CATHOLIQUE SAINT PIERRE","18 RUE SAINT J B DE LA SALLE","LILLE CEDEX",59,59046
"0592975N","LYCEE PROFESSIONNEL PRIVE","LA CESSOIE","287 AVENUE DE LATTRE DE TASSIGNY",,59,59876
"0592980U","LYCEE POLYVALENT PRIVE","EIC MARIE NOEL","31 rue DE RENAIX","TOURCOING",59,59200
"0592987B","LYCEE PROFESSIONNEL","AN DU LP P-J FONTAINE D'ANZIN","26 RUE THIERS","RAISMES",59,59590
"0592996L","LYCEE PROFESSIONNEL","AN DU LP P-J FONFAINE D ANZIN","PLACE CASIMIR PERIER ARENBERG","WALLERS",59,59135
"0573172N","LYCEE TECHNOLOGIQUE PRIVE","SAINTE CHRETIENNE","1 PASSAGE DU PENSIONNAT","ST AVOLD CEDEX",57,57506
"0593005W","LYCEE POLYVALENT PRIVE","ST JEAN-BAPTISTE DE LA SALLE","2 rue JEAN LE VASSEUR","LILLE",59,59000
"0593006X","LYCEE TECHNOLOGIQUE PRIVE","NOTRE-DAME D'ANNAY","15  PLACE DU CONCERT","LILLE",59,59000
"0590251C","LYCEE PROFESSIONNEL","AN LP ERNEST COUTEAUX ST AMAND","42 RUE JULES ROCH","ORCHIES",59,59310
"0590252D","LYCEE PROFESSIONNEL","LOUIS-LEOPOLD BOILLY","6 RUE DU COLLEGE","LA BASSEE",59,59480
"0590257J","LYCEE PROFESSIONNEL","ILE DE FLANDRE","246 BIS QUAI DE LA DERIVATION","ARMENTIERES CEDEX",59,59427
"0590258K","LYCEE GENERAL ET TECHNOLOGIQUE","GASTON BERGER","AVENUE GASTON BERGER","LILLE CEDEX",59,59016
"0590260M","LYCEE PROFESSIONNEL","CAMILLE CLAUDEL","1 RUE PAUL LAFARGUE","FOURMIES CEDEX",59,59613
"0590261N","LYCEE PROFESSIONNEL","VAUBAN","BOULEVARD VAUBAN","CAMBRAI CEDEX",59,59408
"0590098L","LYCEE PROFESSIONNEL","PLACIDE COURTOY","1  RUE PLACIDE COURTOY","MAUBEUGE CEDEX",59,59618
